,date,ticker,name,reason,action
138,2017-03-01,CBOE,Cboe Holdings,CBOE acquires BATS[99].,added
138,2017-03-01,PBI,Pitney Bowes,CBOE acquires BATS[99].,removed
137,2017-03-02,ENDP,Endo International,REG acquires EQY[99].,removed
137,2017-03-02,REG,Regency Centers,REG acquires EQY[99].,added
136,2017-03-13,DISH,Dish Network,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.,added
136,2017-03-13,LLTC,Linear Technology,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.,removed
135,2017-03-16,SNPS,Synopsys,Samsung Electronics acquired Harman International Industries.,added
135,2017-03-16,HAR,Harman International,Samsung Electronics acquired Harman International Industries.,removed
134,2017-03-20,FSLR,First Solar,Market capitalization change.,removed
133,2017-03-20,FTR,Frontier Communications,Market capitalization change.,removed
132,2017-03-20,URBN,Urban Outfitters,Market capitalization change.,removed
133,2017-03-20,RJF,Raymond James Financial,Market capitalization change.,added
134,2017-03-20,ARE,Alexandria Real Estate Equities,Market capitalization change.,added
132,2017-03-20,AMD,Advanced Micro Devices,Market capitalization change.,added
131,2017-04-04,DXC,DXC Technology,"HPE spins off Everett, merged with CSC to form DXC[94][95].",added
131,2017-04-04,SWN,Southwestern Energy,"HPE spins off Everett, merged with CSC to form DXC[94][95].",removed
130,2017-04-05,DNB,Dun & Bradstreet,IT acquiring CEB[93].,removed
130,2017-04-05,IT,Gartner,IT acquiring CEB[93].,added
129,2017-06-02,TGNA,Tegna,TGNA spins off Cars.com[92].,removed
129,2017-06-02,INFO,IHS Markit,TGNA spins off Cars.com[92].,added
126,2017-06-19,TDC,Teradata,Market capitalization changes.,removed
127,2017-06-19,R,Ryder System,Market capitalization changes.,removed
128,2017-06-19,MJN,Mead Johnson,Reckitt Benckiser acquired Mead Johnson Nutrition.,removed
128,2017-06-19,RE,Everest Re,Reckitt Benckiser acquired Mead Johnson Nutrition.,added
127,2017-06-19,ANSS,Ansys,Market capitalization changes.,added
126,2017-06-19,ALGN,Align Technology,Market capitalization changes.,added
125,2017-06-19,HLT,Hilton,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.,added
125,2017-06-19,YHOO,Yahoo!,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.,removed
122,2017-07-26,MUR,Murphy Oil,Market capitalization change.,removed
120,2017-07-26,DRE,Duke Realty Corp,Market capitalization change.,added
121,2017-07-26,AOS,A. O. Smith,Market capitalization change.,added
122,2017-07-26,PKG,Packaging Corporation of America,Market capitalization change.,added
123,2017-07-26,RMD,ResMed,Market capitalization change.,added
124,2017-07-26,MGM,MGM Resorts International,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.,added
120,2017-07-26,RIG,Transocean,Market capitalization change.,removed
121,2017-07-26,BBBY,Bed Bath & Beyond,Market capitalization change.,removed
124,2017-07-26,RAI,Reynolds American,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.,removed
123,2017-07-26,MNK,Mallinckrodt,Market capitalization change.,removed
119,2017-08-08,BHF,Brighthouse Financial,"BHF replaced AN,[88] MET spun off BHF[88].",added
119,2017-08-08,AN,AutoNation,"BHF replaced AN,[88] MET spun off BHF[88].",removed
118,2017-08-29,WFM,Whole Foods Market,Amazon acquired Whole Foods Market.,removed
118,2017-08-29,Q,QuintilesIMS,Amazon acquired Whole Foods Market.,added
117,2017-09-01,DD,DuPont,The Dow Chemical Company acquired DuPont.,removed
116,2017-09-01,DOW,Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.,removed
116,2017-09-01,DWDP,DowDuPont Inc.,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.,added
117,2017-09-01,SBAC,SBA Communications,The Dow Chemical Company acquired DuPont.,added
115,2017-09-18,CDNS,Cadence Design Systems,Sycamore Partners acquired Staples.,added
115,2017-09-18,SPLS,Staples,Sycamore Partners acquired Staples.,removed
114,2017-10-13,NCLH,Norwegian Cruise Line Holdings,CenturyLink acquired LVLT.,added
114,2017-10-13,LVLT,Level 3 Communications,CenturyLink acquired LVLT.,removed
113,2018-01-03,HII,Huntington Ingalls Industries,Becton Dickinson acquired BCR.,added
113,2018-01-03,BCR,CR Bard,Becton Dickinson acquired BCR.,removed
112,2018-03-07,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.,removed
112,2018-03-07,IPGP,IPG Photonics,Discovery Communications acquired SNI.,added
110,2018-03-19,PDCO,Patterson Companies,Market capitalization change.,removed
109,2018-03-19,SIG,Signet Jewelers,Market capitalization change.,removed
109,2018-03-19,TTWO,Take-Two Interactive,Market capitalization change.,added
110,2018-03-19,SIVB,SVB Financial Group,Market capitalization change.,added
111,2018-03-19,NKTR,Nektar Therapeutics,Market capitalization change.,added
111,2018-03-19,CHK,Chesapeake Energy,Market capitalization change.,removed
108,2018-04-04,MSCI,MSCI,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.,added
108,2018-04-04,CSRA,CSRA,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.,removed
107,2018-05-31,ABMD,Abiomed,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).,added
107,2018-05-31,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).,removed
106,2018-06-05,NAVI,Navient,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.,removed
106,2018-06-05,EVRG,Evergy,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.,added
105,2018-06-07,TWTR,Twitter,Bayer acquired Monsanto.,added
105,2018-06-07,MON,Monsanto,Bayer acquired Monsanto.,removed
103,2018-06-18,BR,Broadridge Financial Solutions,Market capitalization change.,added
103,2018-06-18,RRC,Range Resources,Market capitalization change.,removed
104,2018-06-18,HFC,HollyFrontier,Market capitalization change.,added
104,2018-06-18,AYI,Acuity Brands,Market capitalization change.,removed
102,2018-06-20,FLT,FleetCor Technologies,AT&T acquired Time Warner.,added
102,2018-06-20,TWX,Time Warner,AT&T acquired Time Warner.,removed
101,2018-07-02,CPRT,Copart,DPS acquired by Keurig Green Mountain.,added
101,2018-07-02,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.,removed
100,2018-08-28,GGP,GGP,GGP acquired by Brookfield Property Partners.,removed
100,2018-08-28,ANET,Arista Networks,GGP acquired by Brookfield Property Partners.,added
99,2018-09-14,XL,XL Group,XL acquired by AXA.,removed
99,2018-09-14,WCG,WellCare,XL acquired by AXA.,added
98,2018-10-01,ROL,Rollins Inc,ANDV acquired by Marathon Petroleum.,added
98,2018-10-01,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.,removed
97,2018-10-11,FTNT,Fortinet,EVHC acquired by KKR.,added
97,2018-10-11,EVHC,Envision Healthcare,EVHC acquired by KKR.,removed
96,2018-11-06,CA,CA Technologies,CA acquired by Broadcom.,removed
96,2018-11-06,KEYS,Keysight,CA acquired by Broadcom.,added
95,2018-11-13,JKHY,Jack Henry & Associates,EQT spun off ETRN[69].,added
95,2018-11-13,EQT,EQT,EQT spun off ETRN[69].,removed
92,2018-12-03,LW,Lamb Weston,UTX acquired COL[68].,added
93,2018-12-03,MXIM,Maxim Integrated,CVS acquired Aetna[68].,added
94,2018-12-03,FANG,Diamondback Energy,Market Capitalization change[68].,added
92,2018-12-03,COL,Rockwell Collins,UTX acquired COL[68].,removed
94,2018-12-03,SRCL,Stericycle,Market Capitalization change[68].,removed
93,2018-12-03,AET,Aetna,CVS acquired Aetna[68].,removed
91,2018-12-24,CE,Celanese,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[67].,added
91,2018-12-24,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[67].,removed
90,2019-01-02,FRC,First Republic Bank,Dominion Energy acquired SCANA Corporation[66].,added
90,2019-01-02,SCG,SCANA,Dominion Energy acquired SCANA Corporation[66].,removed
89,2019-01-18,TFX,Teleflex,PCG filed for bankruptcy[65].,added
89,2019-01-18,PCG,Pacific Gas & Electric Company,PCG filed for bankruptcy[65].,removed
88,2019-02-15,NFX,Newfield Exploration,ECA acquired NFX[64].,removed
88,2019-02-15,ATO,Atmos Energy,ECA acquired NFX[64].,added
87,2019-02-27,WAB,Wabtec,WAB acquired GE transportation business[63].,added
